Gene_Symbol	Disease	Dataset	Total_alterations_Over_Patients_in_dataset	Frequency_in_overall_dataset	Total_primary_tumors_mutated_Over_Primary_tumors_in_dataset	Frequency_in_primary_tumors	Total_relapse_tumors_mutated_Over_Relapse_tumors_in_dataset	Frequency_in_relapse_tumors
CUX1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
ULK4	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
RMRP	Atypical Teratoid Rhabdoid Tumor	PBTA	2/28	7.14%	2/24	8.33%	0/6	0.00%
RMRP	Atypical Teratoid Rhabdoid Tumor	PBTA	2/28	7.14%	2/24	8.33%	0/6	0.00%
LINC01630	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
PRF1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
ANKS6	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ROR2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
ACTB	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
PRF1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
EIF3D	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
SRRM3	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
LINC00707	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
MYH9	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
QTRT1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
QTRT1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
RMRP	Atypical Teratoid Rhabdoid Tumor	PBTA	2/28	7.14%	2/24	8.33%	0/6	0.00%
ULK4	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ZNF76	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
RMRP	Atypical Teratoid Rhabdoid Tumor	PBTA	2/28	7.14%	2/24	8.33%	0/6	0.00%
CUX1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
ULK4	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ULK4	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ULK4	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
TTC28	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
TTC28	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
NPAS3	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
NF2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
NF2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
NF2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
RMRP	Atypical Teratoid Rhabdoid Tumor	PBTA	2/28	7.14%	2/24	8.33%	0/6	0.00%
ELK3	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
SRGAP1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
AC092155.1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
AC092155.1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
CDCP1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
FAM122C	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
PLAC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
RNF128	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
NR2F2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
KIAA1671	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
MIF	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
EPB41	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ZNRF3	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ACTB	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
TTC28	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ARHGAP5	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
MIF	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
CUX1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
RMRP	Atypical Teratoid Rhabdoid Tumor	PBTA	2/28	7.14%	2/24	8.33%	0/6	0.00%
AC090330.1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
SYT8	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
CUX1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
ADAMTS14	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
AL392086.1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
CACNA1I	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
MKL1	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
BCR	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
BCR	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
BCR	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
AUTS2	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
MKL1	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
MKL1	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
AUTS2	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
AUTS2	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
AUTS2	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
MKL1	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
VTI1A	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	0/1	0.00%
NR6A1	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	1/1	100.00%
TFAP4	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
ADCY9	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	1/1	100.00%
DENND1A	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	1/1	100.00%
TTF1	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
VTI1A	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	0/1	0.00%
ZNF555	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
PTK2	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
AUTS2	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
HIVEP3	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
AUTS2	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
BCR	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
BCR	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
HIVEP3	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
WBP1L	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
BCR	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
MKL1	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
MKL1	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
MKL1	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
MKL1	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
MKL1	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
MKL1	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
BCR	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
ZNF268	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
HSPG2	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
GLIS2	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
NUP188	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
AUTS2	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
PTK2	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
RNF213	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
BCR	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
MKL1	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
MKL1	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
CACNA1I	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
MKL1	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
MKL1	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
VTI1A	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	0/1	0.00%
DENND1A	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	1/1	100.00%
SH3GLB2	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
CA5B	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	1/1	100.00%
TFAP4	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
NUP188	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
CHST15	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	0/1	0.00%
ZNF554	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
CHST15	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	0/1	0.00%
MKL1	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
HSPG2	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
PTK2	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
RNF213	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
MKL1	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
CACNA1I	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
HIVEP3	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
RNF213	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
ZNF268	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
AARD	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
HSPG2	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
GLIS2	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
OAT	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	0/1	0.00%
OAT	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	0/1	0.00%
ENTHD1	Chordoma	PBTA	1/3	33.33%	1/3	33.33%	0/1	0.00%
SLC30A8	Chordoma	PBTA	1/3	33.33%	0/3	0.00%	1/1	100.00%
RMRP	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
RMRP	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
RMRP	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
RXRA	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
RMRP	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
RNU6-25P	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
RMRP	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
AL627309.5	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
RXRA	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
EPHB2	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
RMRP	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
RMRP	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
RMRP	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
RMRP	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
RXRA	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
RMRP	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
RMRP	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
RMRP	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
MUC17	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
EPHB2	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
RMRP	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
FO538757.2	Choroid plexus carcinoma	PBTA	1/4	25.00%	1/4	25.00%	0/0	
LMNTD1	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RN7SL2	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RN7SL2	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RMRP	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RMRP	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RMRP	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
ECT2L	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
PRDM16	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
PDZRN3	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
NEK5	Choroid plexus papilloma	PBTA	2/16	12.50%	2/15	13.33%	0/1	0.00%
FBXL13	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
NEK5	Choroid plexus papilloma	PBTA	2/16	12.50%	2/15	13.33%	0/1	0.00%
SLC9A8	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RMRP	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RN7SL2	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RMRP	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RN7SL2	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RMRP	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
MFHAS1	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
STXBP1	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
LMNTD1	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RN7SL2	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RMRP	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
FBXL13	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
ECT2L	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RMRP	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RMRP	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
SPAG16	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
HMGB1	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
AC090001.1	Choroid plexus papilloma	PBTA	2/16	12.50%	2/15	13.33%	0/1	0.00%
RN7SL2	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
FBXL13	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
AC090001.1	Choroid plexus papilloma	PBTA	2/16	12.50%	2/15	13.33%	0/1	0.00%
RN7SL2	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
PRAG1	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RMRP	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
ABCB5	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RMRP	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RMRP	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
SPAG16	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
SPAG16	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RMRP	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
PRAG1	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
RREB1	Choroid plexus papilloma	PBTA	1/16	6.25%	1/15	6.67%	0/1	0.00%
EWSR1	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
C11orf95	CNS Embryonal tumor	PBTA	1/14	7.14%	0/9	0.00%	1/4	25.00%
OPCML	CNS Embryonal tumor	PBTA	1/14	7.14%	0/9	0.00%	1/4	25.00%
FAM49A	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
FAM49A	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
AFDN	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
AFDN	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
EWSR1	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
EWSR1	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
EWSR1	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
GNB1L	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
IGF2R	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
LARGE1	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
LPA	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
LPA	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
NF2	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
NF2	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
NF2	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
QKI	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
RBFOX2	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
RBFOX2	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
RBFOX2	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
TEF	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
ZBED4	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
EWSR1	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
PLAGL1	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
FAM49A	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
FAM49A	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
FAM49A	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
FYN	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
QKI	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
QKI	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
RMRP	CNS Embryonal tumor	PBTA	1/14	7.14%	0/9	0.00%	1/4	25.00%
RMRP	CNS Embryonal tumor	PBTA	1/14	7.14%	0/9	0.00%	1/4	25.00%
MET	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
PTPRZ1	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
MN1	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
QKI	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
RMRP	CNS Embryonal tumor	PBTA	1/14	7.14%	0/9	0.00%	1/4	25.00%
C11orf95	CNS Embryonal tumor	PBTA	1/14	7.14%	0/9	0.00%	1/4	25.00%
RELA	CNS Embryonal tumor	PBTA	1/14	7.14%	0/9	0.00%	1/4	25.00%
EWSR1	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
EWSR1	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
MET	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
MET	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
MET	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
RPS6KA2	CNS Embryonal tumor	PBTA	1/14	7.14%	0/9	0.00%	0/4	0.00%
PTPRZ1	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
PTPRZ1	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
ZNF552	CNS Embryonal tumor	PBTA	1/14	7.14%	0/9	0.00%	0/4	0.00%
ZNF586	CNS Embryonal tumor	PBTA	1/14	7.14%	0/9	0.00%	0/4	0.00%
AL139099.5	CNS Embryonal tumor	PBTA	1/14	7.14%	0/9	0.00%	1/4	25.00%
RN7SL1	CNS Embryonal tumor	PBTA	1/14	7.14%	0/9	0.00%	1/4	25.00%
MET	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
MET	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
RPS6KA2	CNS Embryonal tumor	PBTA	1/14	7.14%	0/9	0.00%	0/4	0.00%
C11orf95	CNS Embryonal tumor	PBTA	1/14	7.14%	0/9	0.00%	1/4	25.00%
RERE	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
NF2	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
NF2	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
PTPRZ1	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
PTPRZ1	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
C11orf95	CNS Embryonal tumor	PBTA	1/14	7.14%	0/9	0.00%	1/4	25.00%
PARVB	CNS Embryonal tumor	PBTA	1/14	7.14%	0/9	0.00%	0/4	0.00%
ARHGEF12	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
AFDN	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
RELA	CNS Embryonal tumor	PBTA	1/14	7.14%	0/9	0.00%	1/4	25.00%
MYT1L	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
NF2	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
NF2	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
NF2	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
NF2	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
NF2	CNS Embryonal tumor	PBTA	1/14	7.14%	1/9	11.11%	0/4	0.00%
AC092747.1	CNS Embryonal tumor	PBTA	1/14	7.14%	0/9	0.00%	0/4	0.00%
